Genre,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Action,1.25,16.09,22.61,25.47,27.32,30.82,44.56,45.68,47.43,52.07,58.46,65.22,69.26,71.07000000000001,72.62,76.19,96.77,124.35,163.79,192.60999999999999,226.88,286.84,375.59,443.54999999999995,520.15,606.88,674.38,782.24,927.19,1066.6100000000001,1185.5100000000002,1311.8100000000002,1433.8500000000001,1559.71,1658.73,1729.43,1749.3400000000001
Adventure,1.3,,,1.7000000000000002,,,,6.08,,,,8.32,20.560000000000002,20.630000000000003,24.370000000000005,25.090000000000003,29.280000000000005,34.24,43.33,50.93,53.91,65.58,76.63,78.77,87.47,96.0,107.47,132.16,157.18,177.88,194.46,210.54000000000002,216.53000000000003,223.14000000000004,229.20000000000005,237.23000000000005,239.04000000000005
Fighting,0.77,,1.24,,,2.29,,7.71,,,,8.1,23.35,32.1,40.57,55.42,73.48,85.24000000000001,116.9,131.16,151.38,169.5,195.05,218.78,236.13,258.85,281.40000000000003,299.04,334.51,366.83,381.71999999999997,404.4,413.90999999999997,421.11999999999995,437.2699999999999,445.0499999999999,448.9099999999999
Misc,2.71,,3.58,5.720000000000001,7.170000000000001,,,,,8.450000000000001,,8.530000000000001,13.47,13.770000000000001,16.630000000000003,23.03,33.71,39.4,51.339999999999996,71.99,87.53,103.93,121.89000000000001,145.71,177.03,237.36,305.11,404.77,493.26,570.2,667.44,723.8900000000001,746.8400000000001,772.4900000000001,796.1700000000001,807.8600000000001,809.0300000000001
Platform,,6.93,11.96,18.89,19.580000000000002,62.75,72.14,73.88,101.61,122.27,145.24,152.88,166.29999999999998,184.96999999999997,213.70999999999998,230.39999999999998,258.63,281.51,311.39,332.21,348.27,387.54999999999995,433.91999999999996,476.80999999999995,524.18,547.93,598.2099999999999,633.8,669.51,710.62,742.58,770.69,789.24,814.36,823.25,829.3,831.37
Puzzle,0.38,2.6199999999999997,12.649999999999999,13.639999999999999,16.779999999999998,19.99,,,25.57,63.32,69.32,72.55999999999999,77.39999999999999,80.57,82.1,84.80999999999999,88.71999999999998,94.60999999999999,100.94999999999999,102.30999999999999,106.12999999999998,114.21999999999998,119.55999999999999,122.10999999999999,131.27999999999997,151.72999999999996,162.62999999999997,186.62999999999997,202.25999999999996,222.56999999999996,234.38999999999996,239.55999999999995,241.31999999999994,242.30999999999995,243.80999999999995,244.50999999999993,
Racing,0.32,0.8,2.37,,8.32,,10.280000000000001,,12.420000000000002,,18.68,19.82,28.86,29.22,31.41,37.5,65.74,97.64999999999999,125.55,162.82,182.81,238.92000000000002,270.99,323.21000000000004,371.37000000000006,427.7900000000001,461.9200000000001,501.0900000000001,571.8500000000001,606.0600000000002,641.3500000000001,678.0200000000001,692.4800000000001,705.5200000000001,722.2100000000002,730.1300000000001,731.7700000000001
Role-Playing,,,,,,,2.52,7.17,13.05,15.25,19.77,23.02,29.88,35.47,42.58,56.839999999999996,100.8,122.59,150.68,200.10000000000002,229.13000000000002,251.19000000000003,297.62,328.04,381.99,410.63,468.36,512.88,572.8199999999999,620.8199999999999,691.3399999999999,745.16,793.3,838.27,884.13,920.5699999999999,927.3299999999999
Shooter,7.069999999999999,17.11,20.9,21.38,52.48,53.48,57.37,58.08,58.589999999999996,59.79,,61.79,62.08,65.16,73.46,77.61,84.52,106.69,116.49,128.74,135.55,160.32000000000002,209.34000000000003,236.86000000000004,284.54,326.52000000000004,367.34000000000003,438.40000000000003,497.91,567.8000000000001,648.1400000000001,747.7900000000001,820.6600000000001,883.46,949.46,1015.61,1033.83
Simulation,,0.45,,,,0.48,,,0.51,,1.65,3.79,5.93,6.12,8.85,13.03,24.36,34.01,41.12,52.559999999999995,55.94,75.88,86.69,107.9,118.75,168.02,190.04000000000002,239.03000000000003,285.85,319.89000000000004,342.36,358.13,371.68,380.35,385.90000000000003,391.52000000000004,391.91
Sports,1.0,1.79,2.84,6.04,12.219999999999999,14.18,19.75,23.47,27.07,32.79,34.9,37.31,40.260000000000005,43.440000000000005,51.830000000000005,59.81,77.26,107.48,150.73000000000002,181.02,222.21,274.22,341.96000000000004,407.37,471.52,531.9,669.76,768.14,865.13,1003.65,1098.01,1155.48,1186.43,1227.98,1274.64,1316.18,1330.78
Strategy,,,,,,,,,,,,0.94,1.2999999999999998,2.11,5.67,12.18,17.79,25.5,38.97,57.43,65.93,73.48,79.04,87.03,94.22,99.59,103.86,113.39,125.71000000000001,138.48000000000002,152.56000000000003,162.10000000000002,165.43000000000004,171.76000000000005,172.75000000000006,174.58000000000007,175.12000000000006
